ID	adj.P.Val	P.Value	F	SPOT_ID
64816_at	7.98e-04	2.31e-04	8.71276	cytochrome P450, family 3, subfamily A, polypeptide 43
8942_at	7.99e-04	2.32e-04	8.71005	kynureninase
220992_at	8.00e-04	2.32e-04	8.70924	zinc finger protein 485
9844_at	8.00e-04	2.32e-04	8.70876	engulfment and cell motility 1
26297_at	8.01e-04	2.32e-04	8.70794	secretion regulating guanine nucleotide exchange factor
152404_at	8.01e-04	2.32e-04	8.70755	immunoglobulin superfamily, member 11
9737_at	8.04e-04	2.33e-04	8.70338	G protein-coupled receptor associated sorting protein 1
85439_at	8.05e-04	2.33e-04	8.70154	stonin 2
7827_at	8.07e-04	2.34e-04	8.69915	nephrosis 2, idiopathic, steroid-resistant (podocin)
101928649_at	8.07e-04	2.34e-04	8.69869	uncharacterized LOC101928649
619434_at	8.08e-04	2.34e-04	8.69684	long intergenic non-protein coding RNA 51
285489_at	8.10e-04	2.35e-04	8.69413	docking protein 7
114780_at	8.12e-04	2.36e-04	8.69076	polycystic kidney disease 1-like 2 (gene/pseudogene)
54985_at	8.14e-04	2.36e-04	8.68765	host cell factor C1 regulator 1 (XPO1 dependent)
6988_at	8.15e-04	2.37e-04	8.68642	T-cell leukemia translocation altered
55750_at	8.16e-04	2.37e-04	8.68531	acylglycerol kinase
259282_at	8.20e-04	2.38e-04	8.67938	biorientation of chromosomes in cell division 1-like 1
163590_at	8.20e-04	2.38e-04	8.67899	torsin A interacting protein 2
121642_at	8.20e-04	2.38e-04	8.67879	alkB homolog 2, alpha-ketoglutarate-dependent dioxygenase
10960_at	8.20e-04	2.38e-04	8.67853	lectin, mannose-binding 2
84798_at	8.21e-04	2.38e-04	8.67816	chromosome 19 open reading frame 48
23481_at	8.21e-04	2.39e-04	8.67745	pescadillo ribosomal biogenesis factor 1
1892_at	8.21e-04	2.39e-04	8.6774	enoyl CoA hydratase, short chain, 1, mitochondrial
3587_at	8.22e-04	2.39e-04	8.67639	interleukin 10 receptor, alpha
79961_at	8.24e-04	2.40e-04	8.67288	DENN/MADD domain containing 2D
11073_at	8.25e-04	2.40e-04	8.67184	topoisomerase (DNA) II binding protein 1
9436_at	8.25e-04	2.40e-04	8.6716	natural cytotoxicity triggering receptor 2
51762_at	8.26e-04	2.40e-04	8.67014	RAB8B, member RAS oncogene family
57475_at	8.30e-04	2.42e-04	8.66407	pleckstrin homology domain containing, family H (with MyTH4 domain) member 1
55282_at	8.31e-04	2.42e-04	8.66313	leucine rich repeat containing 36
55374_at	8.31e-04	2.42e-04	8.6627	transmembrane and coiled-coil domains 6
170394_at	8.35e-04	2.43e-04	8.65724	PWWP domain containing 2B
402415_at	8.36e-04	2.43e-04	8.65549	XK, Kell blood group complex subunit-related, X-linked
28985_at	8.37e-04	2.44e-04	8.65428	malignant T cell amplified sequence 1
163486_at	8.39e-04	2.44e-04	8.6518	DENN/MADD domain containing 1B
55863_at	8.41e-04	2.45e-04	8.64887	transmembrane protein 126B
162968_at	8.41e-04	2.45e-04	8.64855	zinc finger protein 497
158747_at	8.41e-04	2.45e-04	8.64804	motile sperm domain containing 2
24149_at	8.42e-04	2.45e-04	8.64687	zinc finger protein 318
92305_at	8.42e-04	2.46e-04	8.64602	transmembrane protein 129, E3 ubiquitin protein ligase
81566_at	8.42e-04	2.46e-04	8.64599	cysteine-serine-rich nuclear protein 2
57103_at	8.43e-04	2.46e-04	8.64451	TP53 induced glycolysis regulatory phosphatase
2782_at	8.46e-04	2.47e-04	8.64088	guanine nucleotide binding protein (G protein), beta polypeptide 1
84223_at	8.46e-04	2.47e-04	8.64053	IQ motif containing G
51755_at	8.46e-04	2.47e-04	8.64034	cyclin-dependent kinase 12
5533_at	8.48e-04	2.47e-04	8.63804	protein phosphatase 3, catalytic subunit, gamma isozyme
6184_at	8.48e-04	2.47e-04	8.63795	ribophorin I
64105_at	8.51e-04	2.48e-04	8.6338	centromere protein K
6643_at	8.51e-04	2.49e-04	8.63283	sorting nexin 2
5998_at	8.53e-04	2.49e-04	8.6303	regulator of G-protein signaling 3
1964_at	8.56e-04	2.50e-04	8.62705	eukaryotic translation initiation factor 1A, X-linked
23658_at	8.57e-04	2.50e-04	8.6257	LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated
5745_at	8.58e-04	2.51e-04	8.6243	parathyroid hormone 1 receptor
146909_at	8.59e-04	2.51e-04	8.62178	kinesin family member 18B
9211_at	8.62e-04	2.52e-04	8.61834	leucine-rich, glioma inactivated 1
3845_at	8.63e-04	2.52e-04	8.61749	Kirsten rat sarcoma viral oncogene homolog
118487_at	8.63e-04	2.52e-04	8.61728	coiled-coil-helix-coiled-coil-helix domain containing 1
5504_at	8.63e-04	2.52e-04	8.61633	protein phosphatase 1, regulatory (inhibitor) subunit 2
123036_at	8.65e-04	2.53e-04	8.6138	tandem C2 domains, nuclear
201176_at	8.65e-04	2.53e-04	8.6134	Rho GTPase activating protein 27
140838_at	8.69e-04	2.54e-04	8.60804	N-acetylneuraminic acid phosphatase
105376910_at	8.69e-04	2.54e-04	8.60791	uncharacterized LOC105376910
55657_at	8.73e-04	2.56e-04	8.603	zinc finger protein 692
81285_at	8.74e-04	2.56e-04	8.60197	olfactory receptor, family 51, subfamily E, member 2
8417_at	8.77e-04	2.57e-04	8.59726	syntaxin 7
100216546_at	8.79e-04	2.57e-04	8.59528	long intergenic non-protein coding RNA 1004
84135_at	8.79e-04	2.58e-04	8.59489	UTP15, U3 small nucleolar ribonucleoprotein, homolog (S. cerevisiae)
79007_at	8.82e-04	2.59e-04	8.59076	dysbindin (dystrobrevin binding protein 1) domain containing 1
100506368_at	8.85e-04	2.59e-04	8.58692	uncharacterized LOC100506368
9815_at	8.85e-04	2.59e-04	8.58671	G protein-coupled receptor kinase interacting ArfGAP 2
1121_at	8.89e-04	2.61e-04	8.5825	choroideremia (Rab escort protein 1)
1636_at	8.89e-04	2.61e-04	8.58198	angiotensin I converting enzyme
30833_at	8.89e-04	2.61e-04	8.58172	5', 3'-nucleotidase, cytosolic
64754_at	8.90e-04	2.61e-04	8.58009	SET and MYND domain containing 3
23175_at	8.90e-04	2.61e-04	8.57966	lipin 1
8733_at	8.90e-04	2.61e-04	8.5796	glycosylphosphatidylinositol anchor attachment 1
6777_at	8.90e-04	2.61e-04	8.5791	signal transducer and activator of transcription 5B
2769_at	8.92e-04	2.62e-04	8.57749	guanine nucleotide binding protein (G protein), alpha 15 (Gq class)
6612_at	8.95e-04	2.63e-04	8.57322	small ubiquitin-like modifier 3
84902_at	8.95e-04	2.63e-04	8.57263	centrosomal protein 89kDa
55970_at	8.95e-04	2.63e-04	8.57243	guanine nucleotide binding protein (G protein), gamma 12
148345_at	8.98e-04	2.64e-04	8.56918	chromosome 1 open reading frame 127
4781_at	8.98e-04	2.64e-04	8.56838	nuclear factor I/B
526_at	9.00e-04	2.64e-04	8.56643	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2
79940_at	9.00e-04	2.65e-04	8.56585	long intergenic non-protein coding RNA 472
10175_at	9.04e-04	2.66e-04	8.56146	cornichon family AMPA receptor auxiliary protein 1
55890_at	9.05e-04	2.66e-04	8.55913	G protein-coupled receptor, class C, group 5, member C
8501_at	9.06e-04	2.66e-04	8.55854	solute carrier family 43 (amino acid system L transporter), member 1
27252_at	9.07e-04	2.67e-04	8.55633	kelch-like family member 20
101929681_at	9.08e-04	2.67e-04	8.55596	uncharacterized LOC101929681
80740_at	9.10e-04	2.68e-04	8.55315	lymphocyte antigen 6 complex, locus G6C
7879_at	9.10e-04	2.68e-04	8.55314	RAB7A, member RAS oncogene family
253943_at	9.12e-04	2.69e-04	8.54978	YTH N(6)-methyladenosine RNA binding protein 3
100130691_at	9.13e-04	2.69e-04	8.54919	uncharacterized LOC100130691
57180_at	9.13e-04	2.69e-04	8.54916	ARP3 actin-related protein 3 homolog B (yeast)
29090_at	9.14e-04	2.69e-04	8.54779	translocase of inner mitochondrial membrane 21 homolog (yeast)
100885775_at	9.15e-04	2.70e-04	8.54557	BRAF-activated non-protein coding RNA
5458_at	9.18e-04	2.70e-04	8.54189	POU class 4 homeobox 2
147111_at	9.18e-04	2.71e-04	8.54146	notum pectinacetylesterase homolog (Drosophila)
10010_at	9.19e-04	2.71e-04	8.5403	TRAF family member-associated NFKB activator
22909_at	9.19e-04	2.71e-04	8.53999	FANCD2/FANCI-associated nuclease 1
101927043_at	9.23e-04	2.72e-04	8.53569	uncharacterized LOC101927043
339804_at	9.23e-04	2.72e-04	8.53486	chromosome 2 open reading frame 74
2039_at	9.25e-04	2.73e-04	8.53226	dematin actin binding protein
8513_at	9.26e-04	2.73e-04	8.53198	lipase, gastric
2585_at	9.26e-04	2.73e-04	8.53138	galactokinase 2
7013_at	9.26e-04	2.73e-04	8.531	telomeric repeat binding factor (NIMA-interacting) 1
59285_at	9.27e-04	2.74e-04	8.52924	calcium channel, voltage-dependent, gamma subunit 6
101929239_at	9.30e-04	2.74e-04	8.52601	uncharacterized LOC101929239
2828_at	9.31e-04	2.75e-04	8.52429	G protein-coupled receptor 4
9277_at	9.32e-04	2.75e-04	8.52296	WD repeat domain 46
11041_at	9.32e-04	2.75e-04	8.52257	beta-1,4-glucuronyltransferase 1
201627_at	9.35e-04	2.76e-04	8.51918	DENN/MADD domain containing 6A
9500_at	9.38e-04	2.77e-04	8.51596	melanoma antigen family D1
100505806_at	9.42e-04	2.78e-04	8.51113	small nucleolar RNA host gene 18
55033_at	9.42e-04	2.78e-04	8.51058	FK506 binding protein 14, 22 kDa
9982_at	9.42e-04	2.78e-04	8.51046	fibroblast growth factor binding protein 1
4935_at	9.43e-04	2.79e-04	8.50976	G protein-coupled receptor 143
170850_at	9.45e-04	2.79e-04	8.50671	potassium channel, voltage gated modifier subfamily G, member 3
55796_at	9.47e-04	2.80e-04	8.50416	muscleblind-like splicing regulator 3
152518_at	9.51e-04	2.81e-04	8.49949	nuclear transcription factor, X-box binding-like 1
54840_at	9.51e-04	2.81e-04	8.49922	aprataxin
55520_at	9.53e-04	2.82e-04	8.49739	elaC ribonuclease Z 1
50632_at	9.54e-04	2.82e-04	8.49565	calcyon neuron-specific vesicular protein
4676_at	9.56e-04	2.83e-04	8.49302	nucleosome assembly protein 1-like 4
79856_at	9.57e-04	2.83e-04	8.49177	sorting nexin 22
56171_at	9.58e-04	2.84e-04	8.49022	dynein, axonemal, heavy chain 7
9623_at	9.58e-04	2.84e-04	8.48992	T-cell leukemia/lymphoma 1B
1731_at	9.58e-04	2.84e-04	8.48987	septin 1
2593_at	9.58e-04	2.84e-04	8.48976	guanidinoacetate N-methyltransferase
22889_at	9.58e-04	2.84e-04	8.48961	KIAA0907
4204_at	9.59e-04	2.84e-04	8.48895	methyl CpG binding protein 2
57149_at	9.59e-04	2.84e-04	8.48826	LYR motif containing 1
28685_at	9.60e-04	2.85e-04	8.48722	T cell receptor alpha variable 8-1
5272_at	9.60e-04	2.85e-04	8.48655	serpin peptidase inhibitor, clade B (ovalbumin), member 9
79906_at	9.61e-04	2.85e-04	8.48549	MORN repeat containing 1
54926_at	9.61e-04	2.85e-04	8.48523	ubiquitin-conjugating enzyme E2R 2
2098_at	9.61e-04	2.85e-04	8.48469	esterase D
11059_at	9.64e-04	2.86e-04	8.4812	WW domain containing E3 ubiquitin protein ligase 1
4521_at	9.65e-04	2.86e-04	8.48025	nudix (nucleoside diphosphate linked moiety X)-type motif 1
79746_at	9.66e-04	2.87e-04	8.4785	enoyl CoA hydratase domain containing 3
744_at	9.67e-04	2.87e-04	8.47803	metallophosphoesterase domain containing 2
151534_at	9.68e-04	2.87e-04	8.47669	LBX2 antisense RNA 1
1195_at	9.76e-04	2.90e-04	8.46704	CDC-like kinase 1
92906_at	9.76e-04	2.90e-04	8.46657	heterogeneous nuclear ribonucleoprotein L-like
843_at	9.77e-04	2.90e-04	8.46605	caspase 10, apoptosis-related cysteine peptidase
150147_at	9.80e-04	2.91e-04	8.46186	UMODL1 antisense RNA 1
286148_at	9.83e-04	2.92e-04	8.45915	dpy-19-like 4 (C. elegans)
80724_at	9.83e-04	2.92e-04	8.45877	acyl-CoA dehydrogenase family, member 10
84181_at	9.83e-04	2.92e-04	8.45827	chromodomain helicase DNA binding protein 6
23089_at	9.83e-04	2.92e-04	8.45776	paternally expressed 10
9649_at	9.85e-04	2.93e-04	8.45628	Ral GEF with PH domain and SH3 binding motif 1
55754_at	9.85e-04	2.93e-04	8.45585	transmembrane protein 30A
501_at	9.87e-04	2.94e-04	8.45332	aldehyde dehydrogenase 7 family, member A1
221955_at	9.88e-04	2.94e-04	8.45156	diacylglycerol lipase, beta
253868_at	9.89e-04	2.94e-04	8.45092	C20orf166 antisense RNA 1
100288152_at	9.89e-04	2.94e-04	8.45018	uncharacterized LOC100288152
55734_at	9.90e-04	2.95e-04	8.44888	ZFP64 zinc finger protein
1238_at	9.90e-04	2.95e-04	8.44866	atypical chemokine receptor 2
2583_at	9.91e-04	2.95e-04	8.4475	beta-1,4-N-acetyl-galactosaminyl transferase 1
414926_at	9.93e-04	2.96e-04	8.44556	long intergenic non-protein coding RNA 593
89801_at	9.93e-04	2.96e-04	8.44522	protein phosphatase 1, regulatory subunit 3F
51019_at	9.95e-04	2.96e-04	8.44275	coiled-coil domain containing 53
129531_at	9.96e-04	2.97e-04	8.44206	MIT, microtubule interacting and transport, domain containing 1
7342_at	9.97e-04	2.97e-04	8.44006	upstream binding protein 1 (LBP-1a)
5238_at	9.98e-04	2.97e-04	8.43919	phosphoglucomutase 3
10950_at	1.00e-03	2.98e-04	8.43722	BTG family, member 3
6860_at	1.00e-03	2.98e-04	8.43618	synaptotagmin IV
378805_at	1.00e-03	2.99e-04	8.43417	long intergenic non-protein coding RNA, p53 induced transcript
23096_at	1.00e-03	3.00e-04	8.43098	IQ motif and Sec7 domain 2
23395_at	1.01e-03	3.00e-04	8.43002	leucyl-tRNA synthetase 2, mitochondrial
55741_at	1.01e-03	3.00e-04	8.42857	ER degradation enhancer, mannosidase alpha-like 2
101928476_at	1.01e-03	3.01e-04	8.42762	uncharacterized LOC101928476
84310_at	1.01e-03	3.01e-04	8.42757	chromosome 7 open reading frame 50
63933_at	1.01e-03	3.01e-04	8.42687	mitochondrial calcium uniporter regulator 1
5029_at	1.01e-03	3.02e-04	8.42432	purinergic receptor P2Y, G-protein coupled, 2
11315_at	1.01e-03	3.02e-04	8.42308	parkinson protein 7
1114_at	1.01e-03	3.02e-04	8.42115	chromogranin B
23098_at	1.01e-03	3.03e-04	8.4196	sterile alpha and TIR motif containing 1
527_at	1.02e-03	3.03e-04	8.41814	ATPase, H+ transporting, lysosomal 16kDa, V0 subunit c
995_at	1.02e-03	3.06e-04	8.40801	cell division cycle 25C
10152_at	1.03e-03	3.08e-04	8.4003	abl-interactor 2
27020_at	1.03e-03	3.09e-04	8.39724	neuroplastin
1230_at	1.03e-03	3.09e-04	8.39696	chemokine (C-C motif) receptor 1
4200_at	1.03e-03	3.09e-04	8.3968	malic enzyme 2, NAD(+)-dependent, mitochondrial
55698_at	1.03e-03	3.10e-04	8.39605	Ras association and DIL domains
4763_at	1.04e-03	3.10e-04	8.39531	neurofibromin 1
163183_at	1.04e-03	3.11e-04	8.39135	spectrin repeat containing, nuclear envelope family member 4
55089_at	1.04e-03	3.11e-04	8.38976	solute carrier family 38, member 4
64881_at	1.04e-03	3.11e-04	8.38952	protocadherin 20
3231_at	1.04e-03	3.12e-04	8.38927	homeobox D1
643529_at	1.04e-03	3.12e-04	8.38919	long intergenic non-protein coding RNA 865
339451_at	1.04e-03	3.12e-04	8.38895	kelch-like family member 17
11183_at	1.04e-03	3.12e-04	8.38799	mitogen-activated protein kinase kinase kinase kinase 5
392465_at	1.04e-03	3.12e-04	8.38667	glyoxalase domain containing 5
90990_at	1.04e-03	3.13e-04	8.38486	kinesin family member C2
10256_at	1.05e-03	3.14e-04	8.38097	connector enhancer of kinase suppressor of Ras 1
1725_at	1.05e-03	3.14e-04	8.38028	deoxyhypusine synthase
80853_at	1.05e-03	3.15e-04	8.37893	lysine (K)-specific demethylase 7A
51633_at	1.05e-03	3.15e-04	8.37643	OTU domain containing 6B
23178_at	1.05e-03	3.15e-04	8.37587	PAS domain containing serine/threonine kinase
968_at	1.06e-03	3.17e-04	8.37049	CD68 molecule
10126_at	1.06e-03	3.17e-04	8.37019	dynein, axonemal, light chain 4
23287_at	1.06e-03	3.17e-04	8.37014	ATP/GTP binding protein 1
2000_at	1.06e-03	3.18e-04	8.36553	E74-like factor 4 (ets domain transcription factor)
221035_at	1.06e-03	3.18e-04	8.36542	receptor accessory protein 3
285423_at	1.06e-03	3.19e-04	8.36493	uncharacterized LOC285423
10520_at	1.06e-03	3.19e-04	8.3644	zinc finger protein 211
84985_at	1.06e-03	3.19e-04	8.36416	family with sequence similarity 83, member A
10954_at	1.06e-03	3.20e-04	8.36197	protein disulfide isomerase family A, member 5
29946_at	1.07e-03	3.21e-04	8.35651	SERTA domain containing 3
4023_at	1.07e-03	3.21e-04	8.35626	lipoprotein lipase
51710_at	1.07e-03	3.21e-04	8.35533	zinc finger protein 44
153339_at	1.07e-03	3.22e-04	8.35268	transmembrane protein 167A
3184_at	1.07e-03	3.23e-04	8.3518	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)
9635_at	1.08e-03	3.23e-04	8.34867	chloride channel accessory 2
147808_at	1.08e-03	3.24e-04	8.34781	zinc finger protein 784
23512_at	1.08e-03	3.24e-04	8.34727	SUZ12 polycomb repressive complex 2 subunit
1026_at	1.08e-03	3.24e-04	8.34613	cyclin-dependent kinase inhibitor 1A (p21, Cip1)
55778_at	1.08e-03	3.25e-04	8.34524	zinc finger protein 839
3566_at	1.08e-03	3.25e-04	8.34442	interleukin 4 receptor
162394_at	1.08e-03	3.25e-04	8.3441	schlafen family member 5
7402_at	1.08e-03	3.25e-04	8.34357	utrophin
54716_at	1.08e-03	3.26e-04	8.3407	solute carrier family 6 (proline IMINO transporter), member 20
2251_at	1.08e-03	3.26e-04	8.33889	fibroblast growth factor 6
57010_at	1.08e-03	3.26e-04	8.33876	calcium binding protein 4
339539_at	1.08e-03	3.26e-04	8.33869	uncharacterized LOC339539
5524_at	1.09e-03	3.27e-04	8.3363	protein phosphatase 2A activator, regulatory subunit 4
64750_at	1.09e-03	3.28e-04	8.3345	SMAD specific E3 ubiquitin protein ligase 2
221527_at	1.09e-03	3.28e-04	8.33269	zinc finger and BTB domain containing 12
26127_at	1.09e-03	3.28e-04	8.33261	FGFR1 oncogene partner 2
4584_at	1.09e-03	3.29e-04	8.33158	mucin 3A, cell surface associated
5793_at	1.09e-03	3.29e-04	8.33151	protein tyrosine phosphatase, receptor type, G
1215_at	1.09e-03	3.29e-04	8.33105	chymase 1, mast cell
677838_at	1.09e-03	3.29e-04	8.32965	small nucleolar RNA, H/ACA box 61
51006_at	1.10e-03	3.31e-04	8.32505	solute carrier family 35 (GDP-fucose transporter), member C2
121260_at	1.10e-03	3.31e-04	8.32319	solute carrier family 15 (oligopeptide transporter), member 4
11103_at	1.10e-03	3.32e-04	8.32217	KRR1, small subunit (SSU) processome component, homolog (yeast)
127294_at	1.10e-03	3.32e-04	8.3192	myomesin 3
3787_at	1.10e-03	3.33e-04	8.31832	potassium voltage-gated channel, modifier subfamily S, member 1
255480_at	1.10e-03	3.33e-04	8.31757	TBX5 antisense RNA 1
10097_at	1.10e-03	3.33e-04	8.31725	ARP2 actin-related protein 2 homolog (yeast)
1432_at	1.10e-03	3.33e-04	8.31608	mitogen-activated protein kinase 14
157697_at	1.11e-03	3.34e-04	8.3146	glutamate-rich 1
2208_at	1.11e-03	3.34e-04	8.31407	Fc fragment of IgE, low affinity II, receptor for (CD23)
347365_at	1.11e-03	3.35e-04	8.31103	inter-alpha-trypsin inhibitor heavy chain family, member 6
4747_at	1.11e-03	3.35e-04	8.31098	neurofilament, light polypeptide
773_at	1.11e-03	3.35e-04	8.30989	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit
25946_at	1.11e-03	3.36e-04	8.30858	zinc finger protein 385A
3339_at	1.11e-03	3.36e-04	8.3073	heparan sulfate proteoglycan 2
10752_at	1.12e-03	3.37e-04	8.30353	cell adhesion molecule L1-like
2353_at	1.12e-03	3.40e-04	8.2938	FBJ murine osteosarcoma viral oncogene homolog
79868_at	1.13e-03	3.41e-04	8.2921	ALG13, UDP-N-acetylglucosaminyltransferase subunit
51327_at	1.13e-03	3.42e-04	8.28961	alpha hemoglobin stabilizing protein
285847_at	1.13e-03	3.42e-04	8.28846	uncharacterized LOC285847
57148_at	1.13e-03	3.42e-04	8.28844	Ral GTPase activating protein, beta subunit (non-catalytic)
85460_at	1.13e-03	3.42e-04	8.28777	zinc finger protein 518B
83443_at	1.13e-03	3.43e-04	8.28541	splicing factor 3b, subunit 5, 10kDa
8631_at	1.13e-03	3.43e-04	8.28515	src kinase associated phosphoprotein 1
10787_at	1.13e-03	3.44e-04	8.28371	NCK-associated protein 1
91050_at	1.13e-03	3.44e-04	8.28258	coiled-coil domain containing 149
79691_at	1.14e-03	3.45e-04	8.28076	queuine tRNA-ribosyltransferase domain containing 1
8718_at	1.14e-03	3.45e-04	8.27932	tumor necrosis factor receptor superfamily, member 25
5375_at	1.14e-03	3.46e-04	8.27585	peripheral myelin protein 2
253769_at	1.14e-03	3.46e-04	8.27576	WD repeat domain 27
339_at	1.14e-03	3.46e-04	8.27545	apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1
10265_at	1.14e-03	3.46e-04	8.27481	iroquois homeobox 5
90522_at	1.14e-03	3.47e-04	8.27241	Yip1 interacting factor homolog B (S. cerevisiae)
57703_at	1.15e-03	3.48e-04	8.27046	CWC22 spliceosome-associated protein
3925_at	1.15e-03	3.49e-04	8.26825	stathmin 1
54522_at	1.15e-03	3.49e-04	8.26816	ankyrin repeat domain 16
8776_at	1.15e-03	3.49e-04	8.26749	myotubularin related protein 1
81892_at	1.15e-03	3.50e-04	8.26396	SRA stem-loop interacting RNA binding protein
7083_at	1.15e-03	3.50e-04	8.26369	thymidine kinase 1, soluble
203260_at	1.15e-03	3.50e-04	8.26346	coiled-coil domain containing 107
58491_at	1.16e-03	3.51e-04	8.2603	zinc finger protein 71
56924_at	1.16e-03	3.53e-04	8.25531	p21 protein (Cdc42/Rac)-activated kinase 6
1038_at	1.17e-03	3.55e-04	8.24921	cerebellar degeneration-related protein 1, 34kDa
4925_at	1.17e-03	3.56e-04	8.24685	nucleobindin 2
636_at	1.17e-03	3.57e-04	8.2435	bicaudal D homolog 1 (Drosophila)
114043_at	1.17e-03	3.57e-04	8.24307	TSPEAR antisense RNA 2
259217_at	1.18e-03	3.60e-04	8.2343	heat shock 70kDa protein 12A
10481_at	1.18e-03	3.60e-04	8.23345	homeobox B13
23240_at	1.18e-03	3.60e-04	8.23288	KIAA0922
5917_at	1.18e-03	3.60e-04	8.23193	arginyl-tRNA synthetase
5431_at	1.19e-03	3.61e-04	8.22941	polymerase (RNA) II (DNA directed) polypeptide B, 140kDa
115004_at	1.19e-03	3.61e-04	8.22895	Mab-21 domain containing 1
57186_at	1.19e-03	3.62e-04	8.22845	Ral GTPase activating protein, alpha subunit 2 (catalytic)
285704_at	1.19e-03	3.62e-04	8.22747	repulsive guidance molecule family member b
100101467_at	1.19e-03	3.63e-04	8.22556	zinc finger and SCAN domain containing 30
79587_at	1.20e-03	3.65e-04	8.21857	cysteinyl-tRNA synthetase 2, mitochondrial (putative)
86_at	1.21e-03	3.67e-04	8.21197	actin-like 6A
205564_at	1.21e-03	3.68e-04	8.21035	SUMO1/sentrin specific peptidase 5
5826_at	1.21e-03	3.68e-04	8.20976	ATP-binding cassette, sub-family D (ALD), member 4
131544_at	1.21e-03	3.68e-04	8.20919	beta-gamma crystallin domain containing 3
11188_at	1.21e-03	3.68e-04	8.20889	nischarin
103611081_at	1.21e-03	3.68e-04	8.20865	uncharacterized LOC103611081
9869_at	1.21e-03	3.68e-04	8.20837	SET domain, bifurcated 1
114569_at	1.21e-03	3.70e-04	8.20511	mal, T-cell differentiation protein 2 (gene/pseudogene)
285888_at	1.21e-03	3.70e-04	8.20423	canopy FGF signaling regulator 1
5864_at	1.22e-03	3.71e-04	8.201	RAB3A, member RAS oncogene family
8915_at	1.22e-03	3.73e-04	8.19608	B-cell CLL/lymphoma 10
56987_at	1.22e-03	3.73e-04	8.19508	bobby sox homolog (Drosophila)
79763_at	1.22e-03	3.73e-04	8.19456	isochorismatase domain containing 2
55613_at	1.23e-03	3.74e-04	8.19093	myotubularin related protein 8
2206_at	1.23e-03	3.75e-04	8.19043	membrane-spanning 4-domains, subfamily A, member 2
755_at	1.23e-03	3.75e-04	8.19035	chromosome 21 open reading frame 2
55284_at	1.23e-03	3.75e-04	8.19004	ubiquitin-conjugating enzyme E2W (putative)
8538_at	1.23e-03	3.76e-04	8.18702	BARX homeobox 2
158038_at	1.23e-03	3.77e-04	8.18303	leucine rich repeat and Ig domain containing 2
23435_at	1.24e-03	3.78e-04	8.17941	TAR DNA binding protein
5996_at	1.25e-03	3.81e-04	8.17323	regulator of G-protein signaling 1
255082_at	1.25e-03	3.81e-04	8.17212	cancer susceptibility candidate 2 (non-protein coding)
101928327_at	1.25e-03	3.81e-04	8.17155	uncharacterized LOC101928327
51275_at	1.25e-03	3.82e-04	8.17065	MAPKAPK5 antisense RNA 1
6041_at	1.25e-03	3.82e-04	8.1705	ribonuclease L (2',5'-oligoisoadenylate synthetase-dependent)
255919_at	1.25e-03	3.82e-04	8.16895	CTD nuclear envelope phosphatase 1 regulatory subunit 1
8531_at	1.25e-03	3.83e-04	8.16727	Y box binding protein 3
7443_at	1.25e-03	3.83e-04	8.16614	vaccinia related kinase 1
23511_at	1.25e-03	3.83e-04	8.16583	nucleoporin 188kDa
113115_at	1.25e-03	3.84e-04	8.16433	mitochondrial fission regulator 2
80816_at	1.25e-03	3.84e-04	8.16407	additional sex combs like transcriptional regulator 3
57822_at	1.26e-03	3.85e-04	8.16236	grainyhead-like transcription factor 3
8995_at	1.26e-03	3.85e-04	8.16219	tumor necrosis factor (ligand) superfamily, member 18
57590_at	1.26e-03	3.85e-04	8.16185	WD repeat and FYVE domain containing 1
10964_at	1.26e-03	3.85e-04	8.16027	interferon-induced protein 44-like
133619_at	1.26e-03	3.86e-04	8.15738	proline-rich coiled-coil 1
100287177_at	1.26e-03	3.87e-04	8.15659	EML2 antisense RNA 1
79629_at	1.26e-03	3.87e-04	8.15629	occludin/ELL domain containing 1
3190_at	1.26e-03	3.87e-04	8.15615	heterogeneous nuclear ribonucleoprotein K
5373_at	1.26e-03	3.87e-04	8.15587	phosphomannomutase 2
10128_at	1.26e-03	3.87e-04	8.15449	leucine-rich pentatricopeptide repeat containing
22980_at	1.26e-03	3.87e-04	8.15406	transcription factor 25 (basic helix-loop-helix)
2974_at	1.26e-03	3.88e-04	8.15363	guanylate cyclase 1, soluble, beta 2 (pseudogene)
3568_at	1.27e-03	3.88e-04	8.15201	interleukin 5 receptor, alpha
91689_at	1.27e-03	3.89e-04	8.15025	single-pass membrane protein with aspartate-rich tail 1
51617_at	1.27e-03	3.90e-04	8.14744	HMP19 protein
57570_at	1.27e-03	3.90e-04	8.1462	tRNA methyltransferase 5
3032_at	1.27e-03	3.91e-04	8.14569	hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), beta subunit
55011_at	1.27e-03	3.91e-04	8.14458	PIH1 domain containing 1
79939_at	1.28e-03	3.92e-04	8.14171	solute carrier family 35, member E1
7441_at	1.28e-03	3.93e-04	8.13869	pre-B lymphocyte 1
2321_at	1.28e-03	3.93e-04	8.13852	fms-related tyrosine kinase 1
